[0.47, 0.5333333333333333, 0.3333333333333333, 0.3, 0.3333333333333333, 0.0, 1.0, 1.0]
[0.42, 0.4888888888888889, 0.3888888888888889, 0.325, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.43, 0.4888888888888889, 0.3888888888888889, 0.35, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.43, 0.4444444444444444, 0.2777777777777778, 0.25, 0.30303030303030304, 0.0, 1.0, 1.0]
[0.45, 0.4888888888888889, 0.3333333333333333, 0.25, 0.30303030303030304, 0.0, 1.0, 1.0]
[0.38, 0.4, 0.3333333333333333, 0.225, 0.18181818181818182, 0.03571428571428571, 1.0, 1.0]
[0.46, 0.4888888888888889, 0.3888888888888889, 0.325, 0.3333333333333333, 0.0, 1.0, 1.0]
[0.37, 0.35555555555555557, 0.16666666666666666, 0.225, 0.24242424242424243, 0.03571428571428571, 1.0, 1.0]
[0.35, 0.28888888888888886, 0.2777777777777778, 0.225, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.46, 0.5333333333333333, 0.3888888888888889, 0.325, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.4, 0.4222222222222222, 0.2777777777777778, 0.225, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.35, 0.4222222222222222, 0.3333333333333333, 0.175, 0.0, 0.0, 1.0, 1.0]
[0.36, 0.37777777777777777, 0.3333333333333333, 0.225, 0.15151515151515152, 0.0, 1.0, 1.0]
[0.42, 0.4666666666666667, 0.3333333333333333, 0.275, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.41, 0.5111111111111111, 0.3888888888888889, 0.275, 0.09090909090909091, 0.0, 1.0, 1.0]
[0.38, 0.5111111111111111, 0.3888888888888889, 0.35, 0.18181818181818182, 0.0, 0.0, 1.0]
[0.31, 0.4222222222222222, 0.3333333333333333, 0.225, 0.06060606060606061, 0.0, 0.0, 1.0]
[0.38, 0.4666666666666667, 0.3333333333333333, 0.35, 0.21212121212121213, 0.0, 0.0, 1.0]
[0.45, 0.5333333333333333, 0.3888888888888889, 0.375, 0.09090909090909091, 0.0, 1.0, 1.0]
[0.45, 0.5555555555555556, 0.3888888888888889, 0.4, 0.06060606060606061, 0.0, 1.0, 1.0]
[0.56, 0.6888888888888889, 0.3888888888888889, 0.425, 0.42424242424242425, 0.0, 1.0, 1.0]
[0.54, 0.6444444444444445, 0.3333333333333333, 0.375, 0.42424242424242425, 0.0, 1.0, 1.0]
[0.52, 0.6222222222222222, 0.3888888888888889, 0.4, 0.3333333333333333, 0.0, 1.0, 1.0]
[0.46, 0.5111111111111111, 0.3333333333333333, 0.375, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.39, 0.4444444444444444, 0.3333333333333333, 0.25, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.51, 0.6222222222222222, 0.3888888888888889, 0.425, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.4, 0.4888888888888889, 0.3333333333333333, 0.25, 0.09090909090909091, 0.0, 1.0, 1.0]
[0.34, 0.3333333333333333, 0.2777777777777778, 0.1, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.35, 0.3333333333333333, 0.2777777777777778, 0.2, 0.18181818181818182, 0.0, 1.0, 0.6666666666666666]
[0.32, 0.24444444444444444, 0.1111111111111111, 0.15, 0.2727272727272727, 0.03571428571428571, 1.0, 1.0]
[0.39, 0.4, 0.2777777777777778, 0.175, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.32, 0.26666666666666666, 0.2777777777777778, 0.075, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.41, 0.4, 0.2777777777777778, 0.225, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.41, 0.4222222222222222, 0.2777777777777778, 0.3, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.42, 0.4222222222222222, 0.2777777777777778, 0.25, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.39, 0.4, 0.2777777777777778, 0.175, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.37, 0.3333333333333333, 0.2777777777777778, 0.225, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.28, 0.24444444444444444, 0.2777777777777778, 0.1, 0.06060606060606061, 0.0, 1.0, 1.0]
[0.36, 0.35555555555555557, 0.2777777777777778, 0.15, 0.24242424242424243, 0.0, 1.0, 1.0]
[0.3, 0.26666666666666666, 0.3333333333333333, 0.1, 0.12121212121212122, 0.0, 1.0, 1.0]
[0.36, 0.35555555555555557, 0.2777777777777778, 0.125, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.36, 0.35555555555555557, 0.2777777777777778, 0.15, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.28, 0.24444444444444444, 0.2777777777777778, 0.075, 0.15151515151515152, 0.0, 1.0, 1.0]
[0.35, 0.3333333333333333, 0.2777777777777778, 0.075, 0.3333333333333333, 0.0, 1.0, 1.0]
[0.34, 0.3333333333333333, 0.2777777777777778, 0.125, 0.15151515151515152, 0.0, 1.0, 1.0]
[0.34, 0.3333333333333333, 0.2777777777777778, 0.075, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.32, 0.28888888888888886, 0.2777777777777778, 0.1, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.33, 0.28888888888888886, 0.2777777777777778, 0.05, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.41, 0.37777777777777777, 0.2777777777777778, 0.175, 0.36363636363636365, 0.0, 1.0, 1.0]
[0.35, 0.28888888888888886, 0.2777777777777778, 0.2, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.37, 0.35555555555555557, 0.2777777777777778, 0.2, 0.15151515151515152, 0.0, 1.0, 1.0]
[0.39, 0.35555555555555557, 0.2777777777777778, 0.275, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.37, 0.35555555555555557, 0.2777777777777778, 0.2, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.31, 0.2222222222222222, 0.2777777777777778, 0.2, 0.12121212121212122, 0.03571428571428571, 1.0, 1.0]
[0.31, 0.3111111111111111, 0.2777777777777778, 0.125, 0.06060606060606061, 0.0, 1.0, 1.0]
[0.37, 0.3333333333333333, 0.2777777777777778, 0.225, 0.09090909090909091, 0.03571428571428571, 1.0, 1.0]
[0.28, 0.37777777777777777, 0.0, 0.15, 0.21212121212121213, 0.0, 0.5, 1.0]
[0.41, 0.4444444444444444, 0.2777777777777778, 0.225, 0.24242424242424243, 0.0, 1.0, 1.0]
[0.39, 0.4, 0.2777777777777778, 0.2, 0.24242424242424243, 0.0, 1.0, 1.0]
[0.3, 0.26666666666666666, 0.2777777777777778, 0.1, 0.09090909090909091, 0.03571428571428571, 1.0, 1.0]
[0.31, 0.26666666666666666, 0.3333333333333333, 0.175, 0.12121212121212122, 0.0, 1.0, 1.0]
[0.39, 0.4, 0.3333333333333333, 0.225, 0.30303030303030304, 0.0, 0.6666666666666666, 1.0]
[0.38, 0.4444444444444444, 0.2777777777777778, 0.225, 0.2727272727272727, 0.0, 1.0, 0.0]
[0.37, 0.4666666666666667, 0.2777777777777778, 0.175, 0.18181818181818182, 0.0, 1.0, 0.0]
[0.35, 0.35555555555555557, 0.2777777777777778, 0.175, 0.12121212121212122, 0.0, 1.0, 1.0]
[0.34, 0.35555555555555557, 0.2777777777777778, 0.15, 0.15151515151515152, 0.0, 1.0, 1.0]
[0.33, 0.3333333333333333, 0.2777777777777778, 0.15, 0.09090909090909091, 0.0, 1.0, 1.0]
[0.26, 0.2222222222222222, 0.2777777777777778, 0.1, 0.030303030303030304, 0.0, 1.0, 1.0]
[0.34, 0.35555555555555557, 0.2777777777777778, 0.1, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.4, 0.4666666666666667, 0.2777777777777778, 0.25, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.43, 0.4444444444444444, 0.2777777777777778, 0.275, 0.24242424242424243, 0.0, 1.0, 1.0]
[0.36, 0.4, 0.2777777777777778, 0.2, 0.12121212121212122, 0.0, 1.0, 1.0]
[0.37, 0.4, 0.2777777777777778, 0.225, 0.030303030303030304, 0.0, 1.0, 1.0]
[0.4, 0.4222222222222222, 0.3333333333333333, 0.25, 0.15151515151515152, 0.0, 1.0, 1.0]
[0.38, 0.37777777777777777, 0.2777777777777778, 0.225, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.39, 0.4222222222222222, 0.3333333333333333, 0.25, 0.15151515151515152, 0.0, 1.0, 1.0]
[0.42, 0.4444444444444444, 0.2777777777777778, 0.275, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.35, 0.37777777777777777, 0.3333333333333333, 0.225, 0.06060606060606061, 0.0, 1.0, 1.0]
[0.41, 0.4222222222222222, 0.2777777777777778, 0.25, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.38, 0.35555555555555557, 0.2777777777777778, 0.25, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.38, 0.4, 0.2777777777777778, 0.25, 0.15151515151515152, 0.0, 1.0, 0.6666666666666666]
[0.37, 0.35555555555555557, 0.2777777777777778, 0.15, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.38, 0.4222222222222222, 0.2777777777777778, 0.15, 0.24242424242424243, 0.0, 1.0, 1.0]
[0.32, 0.37777777777777777, 0.2777777777777778, 0.125, 0.21212121212121213, 0.0, 0.5, 1.0]
[0.37, 0.37777777777777777, 0.2777777777777778, 0.175, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.28, 0.17777777777777778, 0.16666666666666666, 0.125, 0.24242424242424243, 0.0, 1.0, 1.0]
[0.32, 0.24444444444444444, 0.2777777777777778, 0.1, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.4, 0.4, 0.2777777777777778, 0.2, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.41, 0.35555555555555557, 0.2777777777777778, 0.25, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.41, 0.3333333333333333, 0.2777777777777778, 0.3, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.38, 0.37777777777777777, 0.2777777777777778, 0.15, 0.15151515151515152, 0.0, 1.0, 1.0]
[0.41, 0.4222222222222222, 0.2777777777777778, 0.175, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.42, 0.4222222222222222, 0.2777777777777778, 0.225, 0.24242424242424243, 0.0, 1.0, 1.0]
[0.4, 0.4, 0.2777777777777778, 0.2, 0.3333333333333333, 0.0, 1.0, 1.0]
[0.39, 0.4, 0.2777777777777778, 0.225, 0.24242424242424243, 0.0, 1.0, 1.0]
[0.35, 0.28888888888888886, 0.2777777777777778, 0.15, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.38, 0.37777777777777777, 0.2777777777777778, 0.225, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.39, 0.35555555555555557, 0.2777777777777778, 0.225, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.44, 0.4444444444444444, 0.2777777777777778, 0.275, 0.3939393939393939, 0.0, 1.0, 1.0]
[0.38, 0.37777777777777777, 0.2777777777777778, 0.175, 0.30303030303030304, 0.0, 1.0, 1.0]
[0.31, 0.3333333333333333, 0.2777777777777778, 0.1, 0.18181818181818182, 0.0, 0.5, 1.0]
[0.4, 0.4222222222222222, 0.2777777777777778, 0.25, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.44, 0.4444444444444444, 0.2777777777777778, 0.275, 0.36363636363636365, 0.0, 1.0, 1.0]
[0.34, 0.26666666666666666, 0.2777777777777778, 0.225, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.28, 0.2, 0.2777777777777778, 0.125, 0.12121212121212122, 0.03571428571428571, 1.0, 1.0]
[0.31, 0.28888888888888886, 0.2777777777777778, 0.125, 0.09090909090909091, 0.0, 1.0, 1.0]
[0.5, 0.5555555555555556, 0.2777777777777778, 0.375, 0.3939393939393939, 0.0, 1.0, 1.0]
[0.41, 0.4, 0.2777777777777778, 0.225, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.35, 0.4222222222222222, 0.0, 0.15, 0.30303030303030304, 0.0, 1.0, 1.0]
[0.3, 0.37777777777777777, 0.0, 0.175, 0.09090909090909091, 0.0, 1.0, 1.0]
[0.31, 0.35555555555555557, 0.0, 0.15, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.4, 0.4222222222222222, 0.2777777777777778, 0.175, 0.24242424242424243, 0.0, 1.0, 1.0]
[0.34, 0.37777777777777777, 0.2777777777777778, 0.15, 0.09090909090909091, 0.0, 1.0, 1.0]
[0.39, 0.4, 0.2777777777777778, 0.25, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.41, 0.4888888888888889, 0.2777777777777778, 0.1, 0.30303030303030304, 0.0, 1.0, 1.0]
